Gewässer	Stationsname	StationsNr.	Zeitpunkt	Wasserstand	AS	Tendenz	-2h	-4h	-6h	-12h	-24h	MG	AS1	AS2	AS3	AS4	Abfluss	MQ
Weiße Elster	Zeitz	576610	28.08.2023 16:45	207			207	208	209	210	207		325	425	4.000		6,14	16,7
Weiße Elster	Gera-Langenberg	576520	28.08.2023 16:15	109			109	108	109	110	111		220	260	310	410	4,55	15,4
Weiße Elster	Zitzschen	576635	28.08.2023 16:45	96			96	97	96	94	95						6,07	
Wethau	Mertendorf	576000	28.08.2023 17:00	52			52	52	52	52	53						0,178	0,924
Wipper	Mansfeld-Leimbach	578420	28.08.2023 16:45	36			36	36	46	46	47	100					0,4	1,29
Wipper	Großschierstedt	578430	28.08.2023 17:00	58			58	58	58	59	60		180	220	250	270	0,561	2,31
Wipper	Wippra	578410	28.08.2023 16:45	7			7	7	7	7	7		100	130	150	190	0,261	1,09
Wipper	VS Wippra Zulaufpegel	5784001	28.08.2023 16:15	14			14	14	14	15	15						0,066	
Wipper	Einlauf Liehte Wehr	5784301	28.08.2023 17:00	50			50	50	50	50	50							
Wipper	VS Wippra Ablaufpegel	5784003	28.08.2023 16:15	25			24	24	24		23						0,135	0,575
Wyhra	Streitwald 1	577901	28.08.2023 16:45	17			17	17	17	17	17						0,152	0,892
Zehrengraben	Lindenberg	594953	28.08.2023 16:45	39			39	39	39	39	39						0,023	0,237
Ziethe	Kleinpaschleben	578620	28.08.2023 17:00	50			48	48	50	53	48						0,144	0,251
Zillierbach	Zillierbachtalsperre Zulauf	579754	28.08.2023 16:30	8			9	8	8	9	8							
Zillierbach	Wernigerode	579758	28.08.2023 16:45	33			34	34	34	34	34						0,173	0,305
Zorge	Nordhausen	575500	28.08.2023 16:45	110			111	111	111	111	111						0,972	3,51
Zwickauer Mulde	Wechselburg 1	562115	28.08.2023 16:45	49			53	51	51	56	51						6,08	26,2
Zwickauer Mulde	Zwickau-Pölbitz	562070	28.08.2023 17:00	58			54	56	58	55	55						4,59	14,4
Zörbiger Strengbach	Zörbig	578630	28.08.2023 17:00	46			46	46	46	45	42						0,09	0,175						
